MFName,time,obscfs,obsname
NapaR_Napa,10/31/1959,0.71,NapaR_Napa 195910
NapaR_Napa,11/30/1959,1.38,NapaR_Napa 195911
NapaR_Napa,12/31/1959,3.12,NapaR_Napa 195912
NapaR_Napa,1/31/1960,37.5,NapaR_Napa 196001
NapaR_Napa,2/29/1960,740.9,NapaR_Napa 196002
NapaR_Napa,3/31/1960,323.8,NapaR_Napa 196003
NapaR_Napa,4/30/1960,70.8,NapaR_Napa 196004
NapaR_Napa,5/31/1960,27.8,NapaR_Napa 196005
NapaR_Napa,6/30/1960,5.18,NapaR_Napa 196006
NapaR_Napa,7/31/1960,0.197,NapaR_Napa 196007
NapaR_Napa,8/31/1960,0,NapaR_Napa 196008
NapaR_Napa,9/30/1960,0,NapaR_Napa 196009
NapaR_Napa,10/31/1960,0,NapaR_Napa 196010
NapaR_Napa,11/30/1960,4.38,NapaR_Napa 196011
NapaR_Napa,12/31/1960,49.9,NapaR_Napa 196012
NapaR_Napa,1/31/1961,112.8,NapaR_Napa 196101
NapaR_Napa,2/28/1961,260.8,NapaR_Napa 196102
NapaR_Napa,3/31/1961,159.8,NapaR_Napa 196103
NapaR_Napa,4/30/1961,61.6,NapaR_Napa 196104
NapaR_Napa,5/31/1961,23.5,NapaR_Napa 196105
NapaR_Napa,6/30/1961,3.38,NapaR_Napa 196106
NapaR_Napa,7/31/1961,0,NapaR_Napa 196107
NapaR_Napa,8/31/1961,0,NapaR_Napa 196108
NapaR_Napa,9/30/1961,0,NapaR_Napa 196109
NapaR_Napa,10/31/1961,0,NapaR_Napa 196110
NapaR_Napa,11/30/1961,3.52,NapaR_Napa 196111
NapaR_Napa,12/31/1961,76.7,NapaR_Napa 196112
NapaR_Napa,1/31/1962,63.7,NapaR_Napa 196201
NapaR_Napa,2/28/1962,1024,NapaR_Napa 196202
NapaR_Napa,3/31/1962,554.3,NapaR_Napa 196203
NapaR_Napa,4/30/1962,70.4,NapaR_Napa 196204
NapaR_Napa,5/31/1962,22.4,NapaR_Napa 196205
NapaR_Napa,6/30/1962,3.5,NapaR_Napa 196206
NapaR_Napa,7/31/1962,0.039,NapaR_Napa 196207
NapaR_Napa,8/31/1962,0,NapaR_Napa 196208
NapaR_Napa,9/30/1962,0,NapaR_Napa 196209
NapaR_Napa,10/31/1962,337.7,NapaR_Napa 196210
NapaR_Napa,11/30/1962,28.2,NapaR_Napa 196211
NapaR_Napa,12/31/1962,227.9,NapaR_Napa 196212
NapaR_Napa,1/31/1963,509.9,NapaR_Napa 196301
NapaR_Napa,2/28/1963,1077,NapaR_Napa 196302
NapaR_Napa,3/31/1963,371.4,NapaR_Napa 196303
NapaR_Napa,4/30/1963,867.6,NapaR_Napa 196304
NapaR_Napa,5/31/1963,112.1,NapaR_Napa 196305
NapaR_Napa,6/30/1963,28.5,NapaR_Napa 196306
NapaR_Napa,7/31/1963,5.2,NapaR_Napa 196307
NapaR_Napa,8/31/1963,1.71,NapaR_Napa 196308
NapaR_Napa,9/30/1963,1.61,NapaR_Napa 196309
NapaR_Napa,10/31/1963,7.31,NapaR_Napa 196310
NapaR_Napa,11/30/1963,103,NapaR_Napa 196311
NapaR_Napa,12/31/1963,34.4,NapaR_Napa 196312
NapaR_Napa,1/31/1964,262.9,NapaR_Napa 196401
NapaR_Napa,2/29/1964,61.7,NapaR_Napa 196402
NapaR_Napa,3/31/1964,34,NapaR_Napa 196403
NapaR_Napa,4/30/1964,18.5,NapaR_Napa 196404
NapaR_Napa,5/31/1964,5.2,NapaR_Napa 196405
NapaR_Napa,6/30/1964,2.5,NapaR_Napa 196406
NapaR_Napa,7/31/1964,0.381,NapaR_Napa 196407
NapaR_Napa,8/31/1964,0,NapaR_Napa 196408
NapaR_Napa,9/30/1964,0.06,NapaR_Napa 196409
NapaR_Napa,10/31/1964,0.648,NapaR_Napa 196410
NapaR_Napa,11/30/1964,59.3,NapaR_Napa 196411
NapaR_Napa,12/31/1964,979.9,NapaR_Napa 196412
NapaR_Napa,1/31/1965,1267,NapaR_Napa 196501
NapaR_Napa,2/28/1965,164,NapaR_Napa 196502
NapaR_Napa,3/31/1965,62.7,NapaR_Napa 196503
NapaR_Napa,4/30/1965,273.7,NapaR_Napa 196504
NapaR_Napa,5/31/1965,52.2,NapaR_Napa 196505
NapaR_Napa,6/30/1965,12.4,NapaR_Napa 196506
NapaR_Napa,7/31/1965,3.1,NapaR_Napa 196507
NapaR_Napa,8/31/1965,3.54,NapaR_Napa 196508
NapaR_Napa,9/30/1965,1.99,NapaR_Napa 196509
NapaR_Napa,10/31/1965,2.37,NapaR_Napa 196510
NapaR_Napa,11/30/1965,56.5,NapaR_Napa 196511
NapaR_Napa,12/31/1965,131.2,NapaR_Napa 196512
NapaR_Napa,1/31/1966,870.1,NapaR_Napa 196601
NapaR_Napa,2/28/1966,465.7,NapaR_Napa 196602
NapaR_Napa,3/31/1966,129.7,NapaR_Napa 196603
NapaR_Napa,4/30/1966,46.8,NapaR_Napa 196604
NapaR_Napa,5/31/1966,17.2,NapaR_Napa 196605
NapaR_Napa,6/30/1966,3.47,NapaR_Napa 196606
NapaR_Napa,7/31/1966,0.39,NapaR_Napa 196607
NapaR_Napa,8/31/1966,0.59,NapaR_Napa 196608
NapaR_Napa,9/30/1966,0.193,NapaR_Napa 196609
NapaR_Napa,10/31/1966,0.416,NapaR_Napa 196610
NapaR_Napa,11/30/1966,130,NapaR_Napa 196611
NapaR_Napa,12/31/1966,602.3,NapaR_Napa 196612
NapaR_Napa,1/31/1967,1643,NapaR_Napa 196701
NapaR_Napa,2/28/1967,417.5,NapaR_Napa 196702
NapaR_Napa,3/31/1967,532.2,NapaR_Napa 196703
NapaR_Napa,4/30/1967,709.9,NapaR_Napa 196704
NapaR_Napa,5/31/1967,120,NapaR_Napa 196705
NapaR_Napa,6/30/1967,55.6,NapaR_Napa 196706
NapaR_Napa,7/31/1967,18.2,NapaR_Napa 196707
NapaR_Napa,8/31/1967,4.45,NapaR_Napa 196708
NapaR_Napa,9/30/1967,3.14,NapaR_Napa 196709
NapaR_Napa,10/31/1967,4.85,NapaR_Napa 196710
NapaR_Napa,11/30/1967,7.44,NapaR_Napa 196711
NapaR_Napa,12/31/1967,53.3,NapaR_Napa 196712
NapaR_Napa,1/31/1968,425.3,NapaR_Napa 196801
NapaR_Napa,2/29/1968,618.1,NapaR_Napa 196802
NapaR_Napa,3/31/1968,444.4,NapaR_Napa 196803
NapaR_Napa,4/30/1968,97.3,NapaR_Napa 196804
NapaR_Napa,5/31/1968,27.1,NapaR_Napa 196805
NapaR_Napa,6/30/1968,6.26,NapaR_Napa 196806
NapaR_Napa,7/31/1968,2.53,NapaR_Napa 196807
NapaR_Napa,8/31/1968,2.68,NapaR_Napa 196808
NapaR_Napa,9/30/1968,1.06,NapaR_Napa 196809
NapaR_Napa,10/31/1968,3.65,NapaR_Napa 196810
NapaR_Napa,11/30/1968,9.94,NapaR_Napa 196811
NapaR_Napa,12/31/1968,320.1,NapaR_Napa 196812
NapaR_Napa,1/31/1969,1860,NapaR_Napa 196901
NapaR_Napa,2/28/1969,1637,NapaR_Napa 196902
NapaR_Napa,3/31/1969,525.4,NapaR_Napa 196903
NapaR_Napa,4/30/1969,121.6,NapaR_Napa 196904
NapaR_Napa,5/31/1969,42.2,NapaR_Napa 196905
NapaR_Napa,6/30/1969,16.6,NapaR_Napa 196906
NapaR_Napa,7/31/1969,6.44,NapaR_Napa 196907
NapaR_Napa,8/31/1969,3.55,NapaR_Napa 196908
NapaR_Napa,9/30/1969,0.697,NapaR_Napa 196909
NapaR_Napa,10/31/1969,5.6,NapaR_Napa 196910
NapaR_Napa,11/30/1969,8.19,NapaR_Napa 196911
NapaR_Napa,12/31/1969,509.3,NapaR_Napa 196912
NapaR_Napa,1/31/1970,2672,NapaR_Napa 197001
NapaR_Napa,2/28/1970,513.1,NapaR_Napa 197002
