wellname,time,obsgwl,obsname,weights
64221,1/31/1985,19.5,64221_1,1
64221,6/6/1985,19.5,64221_2,1
64221,3/19/1986,27,64221_3,1
64221,10/30/1986,8.3,64221_4,1
64221,7/10/1987,-36.3,64221_5,1
64221,11/4/1987,-0.2,64221_6,1
64221,4/22/1988,10.9,64221_7,1
64221,10/24/1988,1.9,64221_8,1
64221,5/24/1989,1.4,64221_9,1
64221,10/4/1989,2.4,64221_10,1
64221,4/3/1990,-9.4,64221_11,1
64221,10/25/1990,-1.4,64221_12,1
64221,4/17/1991,8.2,64221_13,1
64221,10/17/1991,-12.6,64221_14,1
64221,4/6/1992,12.2,64221_15,1
64221,11/4/1992,0.4,64221_16,1
64221,4/23/1993,30,64221_17,1
64221,11/4/1993,7,64221_18,1
64221,4/7/1994,10,64221_19,1
64221,10/20/1994,-2.5,64221_20,1
64221,5/5/1995,15.3,64221_21,1
64221,10/26/1995,-3.5,64221_22,1
64221,4/19/1996,14.3,64221_23,1
64221,10/22/1996,-5.5,64221_24,1
64221,5/9/1997,0.9,64221_25,1
64221,10/10/1997,-8.4,64221_26,1
64221,5/19/1998,14.9,64221_27,1
64221,12/21/1998,-91.5,64221_28,1
64221,5/19/1999,3.5,64221_29,1
64221,10/22/1999,-19,64221_30,1
64221,3/1/2000,10.7,64221_31,1
64221,10/5/2000,-14.5,64221_32,1
64221,4/9/2001,9.7,64221_33,1
64221,10/12/2001,-14.1,64221_34,1
64221,4/9/2002,5.8,64221_35,1
64221,10/7/2002,-22.8,64221_36,1
64221,4/7/2003,-10.8,64221_37,1
64221,10/3/2003,-13.9,64221_38,1
64221,4/12/2004,-6.5,64221_39,1
64221,10/12/2004,-22.2,64221_40,1
64221,4/12/2005,3.3,64221_41,1
64221,10/4/2005,-18.7,64221_42,1
64221,5/1/2006,4.7,64221_43,1
64221,10/16/2006,-18.2,64221_44,1
64221,4/10/2007,-3.4,64221_45,1
64221,10/9/2007,-28.6,64221_46,1
64221,4/21/2008,-16.6,64221_47,1
64221,10/12/2009,-23.08,64221_48,1
64221,4/13/2010,-4.98,64221_49,1
64221,10/20/2010,-19.78,64221_50,1
64221,4/19/2011,2.42,64221_51,1
64272,10/5/1984,13.7,64272_1,1
64272,2/21/1985,29.8,64272_2,1
64272,3/13/1985,29.8,64272_3,1
64272,5/22/1985,24.3,64272_4,1
64272,6/24/1985,20.2,64272_5,1
64272,8/5/1985,-2.3,64272_6,1
64272,8/23/1985,14.7,64272_7,1
64272,9/18/1985,15,64272_8,1
