wellname,layer,row,column,roffset,coffset,xlocal,ylocal,x,y,active
BV,4,182,102,-0.050841482,0.24909909,50874.54955,153775.4207,6448612.147,1931701.749,1
C1,1,173,100,-0.354630637,0.115538461,49807.76923,158427.3153,6446018.66,1935708.24,1
NC-125,-4,260,127,0.207684665,0.372873911,63436.43696,114646.1577,6473799.456,1899228.688,1
NC-126,-4,260,127,0.099742077,0.290392751,63395.19638,114700.129,6473742.244,1899265.299,1
NC-128,1,71,41,-0.010256392,-0.311745673,20094.12716,209255.1282,6400712.834,1973308.096,1
NC-130,-5,160,89,0.046736451,0.186081702,44343.04085,164726.6318,6438729.002,1939758.614,1
NC-132,-5,188,109,-0.456034357,-0.421743976,54039.12801,150978.0172,6452542.647,1930155.399,1
NC-133,-4,227,111,0.400639196,0.364926628,55432.46331,131049.6804,6460667.846,1911905.437,1
NC-134,-2,239,109,0.41801004,-0.365509739,54067.24513,125040.995,6461440.052,1905792.187,1
NC-169,-7,143,68,-0.205410172,0.140778237,33820.38912,173352.7051,6425890.653,1944265.512,1
NC-171,-5,149,73,-0.373177843,0.466570743,36483.28537,170436.5889,6429390.327,1942436.023,1
NC-172,-7,145,66,-0.10071411,0.241133129,32870.56656,172300.3571,6425358.036,1942951.77,1
NC-174,-6,142,66,-0.343392823,-0.255304184,32622.34791,173921.6964,6424570.256,1944390.435,1
NC-177,-4,190,89,0.15809737,-0.292839518,44103.58024,149670.9513,6443653.329,1925529.001,1
NC-179,-4,254,113,0.016823656,-0.258073414,56120.96329,117741.5882,6465866.46,1899635.401,1
NC-181,-6,213,90,-0.435413705,0.484223352,44992.11168,138467.7069,6448320.01,1915305.291,1
NC-199,-5,85,47,0.099242377,-0.351424635,23074.28768,202200.3788,6405926.135,1967698.075,1
NC-203,-4,88,51,0.315868452,0.43008379,25465.04189,200592.0658,6408722.785,1967004.441,1
NC-204,-5,190,92,0.345491674,0.27561772,45887.80886,149577.2542,6445362.001,1926051.197,1
NC-212,-3,139,80,-0.014870586,0.393432752,39946.71638,175257.4353,6430996.061,1948150.7,1
NC-216s,-2,262,108,0.101608293,-0.243023247,53628.48838,113699.1959,6464906.88,1894984.319,1
NC-217d,3,262,108,0.101608293,-0.243023247,53628.48838,113699.1959,6464906.88,1894984.319,1
NC-218s,-2,267,126,0.054990276,0.003747336,62751.87367,111222.5049,6474327.136,1895777.372,1
NC-219d,3,267,126,0.054990276,0.003747336,62751.87367,111222.5049,6474327.136,1895777.372,1
NC-220s,-2,223,113,0.246978133,-0.244839004,56127.5805,133126.5109,6460610.725,1914094.763,1
NC-221d,3,223,113,0.246978133,-0.244839004,56127.5805,133126.5109,6460610.725,1914094.763,1
NC-222s,-2,139,81,-0.102665445,-0.400832912,40049.58354,175301.3327,6431077.711,1948227.133,1
NC-223d,3,139,81,-0.102665445,-0.400832912,40049.58354,175301.3327,6431077.711,1948227.133,1
NC-224,-4,104,64,0.437850787,0.150943487,31825.47174,192531.0746,6417456.655,1961604.982,1
NC-225,-4,105,61,0.168767934,0.220871274,30360.43564,192165.616,6416204.966,1960760.492,1
NC-230,-5,49,14,-0.326265294,0.185944917,6842.972459,220413.1326,6384444.56,1979261.029,1
SL71MW-1,1,154,77,0.303610939,0.283291643,38391.64582,167598.1945,6432154.388,1940421.503,1
SL71MW-2,1,154,78,0.131879852,-0.388665574,38555.66721,167684.0601,6432279.15,1940558.289,1
SL71MW-4,1,155,78,-0.329705502,-0.285994414,38607.00279,167414.8528,6432419.464,1940322.874,1
T029MW-1,1,68,34,-0.091421322,-0.442005692,16528.99715,210795.7107,6396835.797,1973536.424,1
T029MW-3,1,68,33,-0.073815021,0.296482349,16398.24117,210786.9075,6396715.938,1973483.43,1
T037C-9,1,71,30,-0.380247567,0.31528044,14907.64022,209440.1238,6395775.858,1971708.052,1
T061MW-2,1,142,72,-0.293163094,0.475611012,35987.80551,173896.5815,6427741.342,1945517.889,1
T132MW-1,1,63,23,0.199328523,0.350354044,11425.17702,213150.3357,6391234.446,1974003.438,1
T143MW-3,1,148,65,0.096119124,0.0257344,32262.8672,170701.9404,6425333.676,1941241.904,1
T168MW-6,1,142,73,-0.242649361,-0.092965603,36203.5172,173871.3247,6427952.683,1945567.933,1
T190MW-8,1,140,72,-0.13761193,0.003559959,35751.77998,174818.806,6427204.131,1946303.771,1
T196MW-2,1,70,31,0.41067287,-0.377419233,15061.29038,209544.6636,6395884.488,1971858.839,1
T196MW-3,1,71,31,-0.478656748,-0.410390057,15044.80497,209489.3284,6395887.922,1971801.202,1
T250MW-4,1,70,30,-0.021965537,0.139625358,14819.81268,209760.9828,6395583.587,1971979.522,1
T259ML5-5,1,71,35,-0.142591116,-0.058739544,17220.63023,209321.2956,6397990,1972387.479,1
T259MW12,1,70,34,0.440259902,0.46029448,16980.14724,209529.87,6397692.683,1972501.225,1
T259MW13,1,70,34,0.472420614,0.498489236,16999.24462,209513.7897,6397716.128,1972492.646,1
T259MW2,1,71,35,-0.281839718,-0.065973967,17217.01302,209390.9199,6397962.788,1972451.668,1
T259MW6,1,71,34,-0.2697301,0.258559337,16879.27967,209384.865,6397647.493,1972330.466,1
T293MW-1,1,239,98,-0.183644937,0.128023952,48814.01198,125341.8225,6456400.739,1904278.161,1
W1,-3,170,100,0.243951969,0.493946434,49996.97322,159628.024,6445785.787,1936901.248,1
W2,1,170,99,0.018739567,-0.258658235,49120.67088,159740.6302,6444923.819,1936707.35,1
