wellname,layer,row,column,roffset,coffset,xlocal,ylocal,x,y,active
31401,1,334,153,0.454395924,-0.418063916,76040.96804,77522.80204,6498340.777,1868655.148,0
40501,-3,321,149,0.077476773,-0.138358831,74180.82058,84211.26161,6494305.222,1874304.036,0
51001,1,325,137,-0.315514643,-0.419486925,68040.25654,82407.75732,6489151.814,1870509.1,0
64221,-4,285,130,0.377705432,0.400094395,64950.0472,102061.1473,6479526.112,1887920.331,1
64272,-3,291,125,0.184977525,0.087376166,62293.68808,99157.51124,6478023.053,1884283.278,1
BV,4,182,102,-0.050841482,0.24909909,50874.54955,153775.4207,6448612.147,1931701.749,1
C1,1,173,100,-0.354630637,0.115538461,49807.76923,158427.3153,6446018.66,1935708.24,1
L80DW-1,2,348,113,0.024207858,-0.014713606,56242.6432,70737.89607,6482057.011,1855507.996,0
L80DW-3,1,348,110,0.177325375,-0.41837224,54540.81388,70661.33731,6480484,1854853.994,0
L80DW-4,-2,352,108,0.447071082,-0.306559851,53596.72007,68526.46446,6480327.011,1852524.971,0
L80DW-5,1,352,111,0.106392724,0.318566544,55409.28327,68696.80364,6481972.004,1853304.97,0
L80DW-6,-2,351,110,-0.355966951,0.177924085,54838.96204,69427.98348,6481185.999,1853796.993,0
L80DW-7,1,348,109,0.196388772,0.376735885,54438.36794,70651.80561,6480390.992,1854809.999,0
L80MW-1,1,348,113,0.103158612,0.003329876,56251.66494,70698.42069,6482078.99,1855473.987,0
L80MW-11,1,348,109,0.218129034,0.383737697,54441.86885,70640.93548,6480398,1854800.982,0
L80MW-17,1,351,110,-0.339540761,0.19960753,54849.80376,69419.77038,6481198.996,1853792.984,0
L80MW-19,1,351,111,-0.103801428,-0.368975266,55065.51237,69301.90071,6481442.01,1853755.999,0
L80MW-2,1,349,111,-0.123677158,0.151186086,55325.59304,70311.83858,6481340.986,1854793.983,0
L80MW-21,1,352,111,0.058212041,0.338227802,55419.1139,68720.89398,6481973.002,1853330.97,0
