SWS,UpStreamSWS
10001,10001
10002,10002
10003,10003
10004,10004
10005,10005
10006,10006
10007,10007
10008,10008
10008,10031
10008,10083
10008,10130
10008,10162
10008,10262
10008,10336
10008,10339
10009,10009
10009,10093
10009,10124
10009,10159
10009,10161
10009,10203
10009,10204
10009,10245
10009,10253
10009,10290
10009,10292
10009,10298
10009,10307
10009,10333
10009,10337
10009,10338
10009,10343
10010,10002
10010,10010
10010,10065
10010,10067
10010,10069
10010,10072
10010,10113
10010,10117
10010,10137
10010,10138
10010,10139
10010,10147
10010,10180
10010,10185
10010,10191
10010,10221
10010,10227
10010,10239
10010,10247
10010,10258
10010,10276
10010,10309
10010,10318
10010,10329
10011,10011
10011,10016
10011,10060
10011,10062
10011,10111
10011,10142
10011,10145
10011,10184
10011,10190
10011,10216
10011,10232
10011,10266
10011,10269
10011,10274
10012,10001
10012,10002
10012,10003
10012,10004
10012,10005
10012,10006
10012,10007
10012,10008
10012,10009
10012,10010
10012,10012
10012,10013
10012,10014
10012,10015
10012,10017
10012,10018
10012,10019
10012,10020
10012,10021
10012,10022
10012,10023
10012,10024
10012,10025
10012,10026
10012,10027
10012,10028
10012,10029
10012,10030
10012,10031
10012,10032
10012,10033
10012,10034
10012,10035
10012,10036
10012,10037
10012,10038
10012,10039
10012,10040
10012,10041
10012,10042
10012,10043
10012,10044
10012,10045
10012,10046
10012,10047
10012,10048
10012,10049
10012,10050
10012,10051
10012,10052
10012,10053
10012,10054
10012,10055
10012,10056
10012,10057
10012,10058
10012,10059
10012,10061
10012,10063
10012,10064
10012,10065
10012,10066
10012,10067
10012,10068
10012,10069
10012,10070
10012,10071
10012,10072
10012,10073
10012,10074
10012,10075
10012,10076
10012,10077
10012,10078
10012,10079
10012,10080
10012,10081
10012,10082
10012,10083
10012,10084
10012,10085
10012,10086
10012,10087
10012,10088
10012,10089
10012,10090
10012,10091
10012,10092
10012,10093
10012,10094
10012,10095
10012,10096
10012,10097
10012,10098
10012,10099
10012,10100
10012,10101
10012,10102
10012,10103
10012,10104
10012,10105
10012,10106
10012,10107
10012,10108
10012,10109
10012,10110
10012,10112
10012,10113
10012,10114
10012,10115
10012,10116
10012,10117
10012,10118
10012,10119
10012,10120
10012,10121
10012,10122
10012,10123
10012,10124
10012,10125
10012,10126
10012,10127
10012,10128
10012,10129
10012,10130
10012,10131
10012,10132
10012,10133
10012,10134
10012,10135
10012,10136
10012,10137
10012,10138
10012,10139
10012,10140
10012,10141
10012,10143
10012,10144
10012,10146
10012,10147
10012,10148
10012,10149
10012,10150
10012,10151
10012,10152
10012,10153
10012,10154
10012,10155
10012,10156
10012,10157
10012,10158
10012,10159
10012,10160
10012,10161
10012,10162
10012,10163
10012,10164
10012,10165
10012,10166
10012,10167
10012,10168
10012,10169
10012,10170
10012,10171
10012,10172
10012,10173
10012,10174
10012,10175
10012,10176
10012,10177
10012,10178
10012,10179
10012,10180
10012,10181
10012,10182
10012,10183
10012,10185
10012,10186
10012,10187
10012,10188
10012,10189
10012,10191
10012,10192
10012,10193
10012,10194
10012,10195
10012,10196
10012,10197
10012,10198
10012,10199
10012,10200
10012,10201
10012,10202
10012,10203
10012,10204
10012,10205
10012,10206
10012,10207
10012,10208
10012,10209
10012,10210
10012,10211
10012,10212
10012,10213
10012,10214
10012,10215
10012,10217
10012,10218
10012,10219
10012,10220
10012,10221
10012,10222
10012,10223
10012,10224
10012,10225
10012,10226
10012,10227
10012,10228
10012,10229
10012,10230
10012,10231
10012,10233
10012,10234
10012,10235
10012,10236
10012,10237
10012,10238
10012,10239
10012,10240
10012,10241
10012,10242
10012,10243
10012,10244
10012,10245
10012,10246
10012,10247
10012,10248
10012,10249
10012,10250
10012,10251
10012,10252
10012,10253
10012,10254
10012,10255
10012,10256
10012,10257
10012,10258
10012,10259
10012,10260
10012,10261
10012,10262
10012,10263
10012,10264
10012,10265
10012,10267
10012,10268
10012,10270
10012,10271
10012,10272
10012,10273
10012,10275
10012,10276
10012,10277
10012,10278
10012,10279
10012,10280
10012,10281
10012,10282
10012,10283
10012,10284
10012,10285
10012,10286
10012,10287
10012,10288
10012,10289
10012,10290
10012,10291
10012,10292
10012,10293
10012,10294
10012,10295
10012,10296
10012,10297
10012,10298
10012,10299
10012,10300
10012,10301
10012,10302
10012,10303
10012,10304
10012,10305
10012,10306
10012,10307
10012,10308
10012,10309
10012,10310
10012,10311
10012,10312
10012,10313
10012,10316
10012,10317
10012,10318
10012,10319
10012,10320
10012,10321
10012,10322
10012,10323
10012,10324
10012,10325
10012,10326
10012,10327
10012,10328
10012,10329
10012,10330
10012,10331
10012,10332
10012,10333
10012,10334
10012,10335
10012,10336
10012,10337
10012,10338
10012,10339
10012,10340
10012,10341
10012,10342
10012,10343
10012,10344
10012,10345
10012,10346
10013,10013
10013,10020
10013,10022
10013,10131
10013,10157
10013,10182
10013,10187
10013,10251
10013,10310
10013,10316
10013,10317
10014,10014
10014,10132
10015,10001
10015,10002
10015,10004
10015,10005
10015,10006
10015,10007
10015,10008
10015,10009
10015,10010
10015,10015
10015,10019
10015,10024
10015,10025
10015,10026
10015,10027
10015,10028
10015,10029
10015,10030
10015,10031
10015,10032
10015,10033
10015,10034
10015,10035
10015,10036
10015,10037
10015,10038
10015,10039
10015,10040
10015,10041
10015,10042
10015,10043
10015,10044
10015,10045
10015,10046
10015,10047
10015,10048
10015,10049
10015,10050
10015,10051
10015,10052
10015,10053
10015,10054
10015,10055
10015,10056
10015,10057
10015,10059
10015,10064
10015,10065
10015,10067
10015,10069
10015,10070
10015,10072
10015,10073
10015,10074
10015,10075
10015,10076
10015,10077
10015,10078
10015,10079
10015,10080
10015,10081
10015,10082
10015,10083
10015,10084
10015,10085
10015,10086
10015,10087
10015,10088
10015,10089
10015,10090
10015,10091
10015,10092
10015,10093
10015,10094
10015,10095
10015,10096
10015,10097
10015,10098
10015,10099
10015,10102
10015,10104
10015,10113
10015,10114
10015,10115
10015,10116
10015,10117
10015,10118
10015,10119
10015,10120
10015,10121
10015,10122
10015,10123
10015,10124
10015,10125
10015,10126
10015,10127
10015,10128
10015,10129
10015,10130
10015,10133
10015,10134
10015,10135
10015,10136
10015,10137
10015,10138
10015,10139
10015,10140
10015,10143
10015,10147
10015,10148
10015,10149
10015,10150
10015,10151
10015,10152
10015,10153
10015,10154
10015,10155
10015,10156
10015,10158
10015,10159
10015,10160
10015,10161
10015,10162
10015,10163
10015,10164
10015,10165
10015,10166
10015,10167
10015,10168
10015,10169
10015,10170
10015,10171
10015,10172
10015,10173
10015,10174
10015,10175
10015,10176
10015,10177
10015,10178
10015,10179
10015,10180
10015,10183
10015,10185
10015,10186
10015,10191
10015,10192
10015,10193
10015,10194
10015,10195
10015,10197
10015,10198
10015,10199
10015,10200
10015,10201
10015,10202
10015,10203
10015,10204
10015,10205
10015,10206
10015,10207
10015,10208
10015,10209
10015,10210
10015,10211
10015,10212
10015,10213
10015,10214
10015,10215
10015,10221
10015,10222
10015,10223
10015,10226
10015,10227
10015,10229
10015,10234
10015,10235
10015,10236
10015,10237
10015,10238
10015,10239
10015,10241
10015,10242
10015,10243
10015,10244
10015,10245
10015,10246
10015,10247
10015,10248
10015,10249
10015,10250
10015,10252
10015,10253
10015,10254
10015,10255
10015,10256
10015,10257
10015,10258
10015,10259
10015,10260
10015,10261
10015,10262
10015,10263
10015,10264
10015,10265
10015,10271
10015,10276
10015,10277
10015,10278
10015,10279
10015,10280
10015,10281
10015,10282
10015,10283
10015,10284
10015,10285
10015,10286
10015,10287
10015,10288
10015,10289
10015,10290
10015,10291
10015,10292
10015,10293
10015,10294
10015,10295
10015,10296
10015,10297
10015,10298
10015,10299
10015,10300
10015,10301
10015,10302
10015,10303
10015,10304
10015,10306
10015,10307
10015,10308
10015,10309
10015,10313
10015,10318
10015,10319
10015,10320
10015,10321
10015,10322
10015,10324
10015,10325
10015,10326
10015,10327
10015,10328
10015,10329
10015,10330
10015,10331
10015,10332
10015,10333
10015,10334
10015,10335
10015,10336
10015,10337
10015,10338
10015,10339
10015,10340
10015,10341
10015,10342
10015,10343
10015,10344
10015,10345
10015,10346
10016,10016
10016,10145
10016,10190
10017,10017
10017,10058
