MF6Name,Well_Name,x,y,layer,mag,mag2,nInterp,localx,localy,Row,Column,nInterp,ibound1,ibound2,ibound3,ibound4,Column1,Column2,Column3,Column4,Row1,Row2,Row3,Row4,Weight1,Weight2,Weight3,Weight4,Node,Node1,Node2,Node3,Node4
H001A,334138104343801,539133.2,3728305.5,3,,,4,29070.199999999953,140381.5,69,145,4,1,1,1,1,145,146,145,146,68,68,69,69,0.32980893529606886,0.002351249218100231,0.663112404082583,0.00472741140324806,20273,19977,19978,20273,20274
H002A,333908104314401,543633.9,3723705.3,3,,,4,33570.90000000002,135781.2999999998,92,167,4,1,1,1,1,167,168,167,168,91,91,92,92,0.2881543831217979,0.17655173315055775,0.3319243570360269,0.20336952669161754,27103,26807,26808,27103,27104
H003A,333735104300301,546249.2,3720853.4,3,,,4,36186.19999999995,132929.3999999999,106,180,4,1,1,1,1,180,181,180,181,105,105,106,106,0.17841542447236927,0.1095826666675883,0.4410866832192586,0.2709152256407838,31260,30964,30965,31260,31261
H004A,Poe Corn Level 819270,544604.0,3719407.4,3,,,4,34541.0,131483.3999999999,113,172,4,1,1,1,1,172,173,172,173,112,112,113,113,0.07975508451183223,0.020221054826828993,0.7179861069305401,0.18203775373079872,33324,33028,33029,33324,33325
H005A,333636104294701,546670.3,3719038.4,3,,,4,36607.30000000005,131114.3999999999,115,182,4,1,1,1,1,182,183,182,183,114,114,115,115,0.13981235530182795,0.12587602455227012,0.3864144799801873,0.34789714016571466,33926,33630,33631,33926,33927
H006A,Transwestern Level 823779,544634.1,3717070.4,3,,,4,34571.09999999998,129146.3999999999,125,172,4,1,1,1,1,172,173,172,173,124,124,125,125,0.31292310173706195,0.16989722753269915,0.33519190661467985,0.181987764115559,36876,36580,36581,36876,36877
H007A,333344104315901,543292.6,3713725.5,3,,,4,33229.59999999998,125801.5,141,166,4,1,1,1,1,165,166,165,166,141,141,142,142,0.2708877704496664,0.5845365515037139,0.04578287299321373,0.09879280505340596,41606,41605,41606,41901,41902
H008A,333145104315901,543309.1,3710060.7,3,,,4,33246.09999999998,122136.70000000019,159,166,4,1,1,1,1,165,166,165,166,159,159,160,160,0.1496631014246782,0.4881520580390396,0.08498654464286998,0.27719829589341216,46934,46933,46934,47229,47230
H009A,NM-28251,544675.0,3707849.0,3,,,4,34612.0,119925.0,170,173,4,1,1,1,1,172,173,172,173,170,170,171,171,0.2862400261049875,0.3572818063875921,0.15856232814658813,0.19791583936083232,50197,50196,50197,50492,50493
H010A,332731104231601,556845.3,3702308.6,1,,,4,46782.30000000005,114384.6000000001,198,233,4,1,1,1,1,233,234,233,234,197,197,198,198,0.0968972695478393,0.005464935172103468,0.8497145176146664,0.04792327766539083,58545,58249,58250,58545,58546
H011A,332704104252301,553571.5,3701458.3,1,,,4,43508.5,113534.29999999981,202,217,4,1,1,1,1,216,217,216,217,202,202,203,203,0.19312098795221305,0.6824258186912079,0.027450872383363915,0.09700232097321516,59713,59712,59713,60008,60009
H012A,332629104232701,556572.6,3700397.6,1,,,4,46509.59999999998,112473.6000000001,207,232,4,1,1,1,1,231,232,231,232,207,207,208,208,0.18217516646101073,0.42066425133481217,0.12002001368680114,0.2771405685173759,61208,61207,61208,61503,61504
H013A,Berrendo-Smith level-823069,545360.6,3699951.8,3,,,4,35297.59999999998,112027.79999999981,210,176,4,1,1,1,1,175,176,175,176,209,209,210,210,0.014197051044827092,0.3725841467544356,0.02250858802347965,0.5907102141772578,62040,61743,61744,62039,62040
H014A,332613104355501,537261.4,3699810.9,3,,,4,27198.400000000023,111886.8999999999,210,136,4,1,1,1,1,135,136,135,136,210,210,211,211,0.20425191311932248,0.48211967679049805,0.09333020729763457,0.2202982027925449,62000,61999,62000,62295,62296
H015A,332535104260503,552502.1,3698711.5,1,,,4,42439.09999999998,110787.5,216,211,4,1,1,1,1,211,212,211,212,215,215,216,216,0.11872674516716145,0.10256093477746148,0.41779993899741896,0.3609123810579581,63851,63555,63556,63851,63852
H016A,332413104371101,535312.5,3696108.0,3,,,4,25249.5,108184.0,229,126,4,1,1,1,1,126,127,126,127,228,228,229,229,0.27531894480283153,0.004049543222929022,0.710185708024886,0.010445803949353393,67614,67318,67319,67614,67615
H017A,332350104243601,554818.8,3695490.7,1,,,4,44755.80000000005,107566.70000000019,232,223,4,1,1,1,1,222,223,222,223,231,231,232,232,0.004275128690921123,0.2065138635909934,0.01600642702335194,0.7732045806947335,68599,68302,68303,68598,68599
H018A,332348104245102,554431.6,3695426.9,3,,,4,44368.59999999998,107502.8999999999,232,221,4,1,1,1,1,221,222,221,222,232,232,233,233,0.844527477541664,0.04911365822093446,0.10051348324734133,0.005845380990060209,68597,68597,68598,68893,68894
H019A,332309104260801,552449.0,3694214.9,1,,,4,42386.0,106290.8999999999,238,211,4,1,1,1,1,211,212,211,212,238,238,239,239,0.6954823700705159,0.1733436857590457,0.1050027965563805,0.026171147614057776,70363,70363,70364,70659,70660
H020A,332307104260801,552449.3,3694153.3,1,,,4,42386.30000000005,106229.29999999981,238,211,4,1,1,1,1,211,212,211,212,238,238,239,239,0.449525405921125,0.11308892637342338,0.34946846984417035,0.08791719786128124,70363,70363,70364,70659,70660
