sp,tstp,time
1,1,15
1,2,30
2,1,45.5
2,2,61
3,1,76
3,2,91
4,1,106.5
4,2,122
5,1,137.5
5,2,153
6,1,168
6,2,183
7,1,198.5
7,2,214
8,1,229
8,2,244
9,1,259.5
9,2,275
10,1,290.5
10,2,306
11,1,320
11,2,334
12,1,349.5
12,2,365
13,1,380
13,2,395
14,1,410.5
14,2,426
15,1,441
15,2,456
16,1,471.5
16,2,487
17,1,502.5
17,2,518
18,1,533
18,2,548
19,1,563.5
19,2,579
20,1,594
20,2,609
21,1,624.5
21,2,640
22,1,655.5
22,2,671
23,1,685
23,2,699
24,1,714.5
24,2,730
25,1,745
25,2,760
26,1,775.5
26,2,791
27,1,806
27,2,821
28,1,836.5
28,2,852
29,1,867.5
29,2,883
30,1,898
30,2,913
31,1,928.5
31,2,944
32,1,959
32,2,974
33,1,989.5
33,2,1005
34,1,1020.5
34,2,1036
35,1,1050
35,2,1064
36,1,1079.5
36,2,1095
37,1,1110
37,2,1125
38,1,1140.5
38,2,1156
39,1,1171
39,2,1186
40,1,1201.5
40,2,1217
41,1,1232.5
41,2,1248
42,1,1263
42,2,1278
43,1,1293.5
43,2,1309
44,1,1324
44,2,1339
45,1,1354.5
45,2,1370
46,1,1385.5
46,2,1401
47,1,1415.5
47,2,1430
48,1,1445.5
48,2,1461
49,1,1476
49,2,1491
50,1,1506.5
50,2,1522
51,1,1537
51,2,1552
52,1,1567.5
52,2,1583
53,1,1598.5
53,2,1614
54,1,1629
54,2,1644
55,1,1659.5
55,2,1675
56,1,1690
56,2,1705
57,1,1720.5
57,2,1736
58,1,1751.5
58,2,1767
59,1,1781
59,2,1795
60,1,1810.5
60,2,1826
61,1,1841
61,2,1856
62,1,1871.5
62,2,1887
63,1,1902
63,2,1917
64,1,1932.5
64,2,1948
65,1,1963.5
65,2,1979
66,1,1994
66,2,2009
67,1,2024.5
67,2,2040
68,1,2055
68,2,2070
69,1,2085.5
69,2,2101
70,1,2116.5
70,2,2132
71,1,2146
71,2,2160
72,1,2175.5
72,2,2191
73,1,2206
73,2,2221
74,1,2236.5
74,2,2252
75,1,2267
75,2,2282
76,1,2297.5
76,2,2313
77,1,2328.5
77,2,2344
78,1,2359
78,2,2374
79,1,2389.5
79,2,2405
80,1,2420
80,2,2435
81,1,2450.5
81,2,2466
82,1,2481.5
82,2,2497
83,1,2511
83,2,2525
84,1,2540.5
84,2,2556
85,1,2571
85,2,2586
86,1,2601.5
86,2,2617
87,1,2632
87,2,2647
88,1,2662.5
88,2,2678
89,1,2693.5
89,2,2709
90,1,2724
90,2,2739
91,1,2754.5
91,2,2770
92,1,2785
92,2,2800
93,1,2815.5
93,2,2831
94,1,2846.5
94,2,2862
95,1,2876.5
95,2,2891
96,1,2906.5
96,2,2922
97,1,2937
97,2,2952
98,1,2967.5
98,2,2983
99,1,2998
99,2,3013
100,1,3028.5
100,2,3044
101,1,3059.5
101,2,3075
102,1,3090
102,2,3105
103,1,3120.5
103,2,3136
104,1,3151
104,2,3166
105,1,3181.5
105,2,3197
106,1,3212.5
106,2,3228
107,1,3242
107,2,3256
108,1,3271.5
108,2,3287
109,1,3302
109,2,3317
110,1,3332.5
110,2,3348
111,1,3363
111,2,3378
112,1,3393.5
112,2,3409
113,1,3424.5
113,2,3440
114,1,3455
114,2,3470
115,1,3485.5
115,2,3501
116,1,3516
116,2,3531
117,1,3546.5
117,2,3562
118,1,3577.5
118,2,3593
119,1,3607
119,2,3621
120,1,3636.5
120,2,3652
121,1,3667
121,2,3682
122,1,3697.5
122,2,3713
123,1,3728
123,2,3743
124,1,3758.5
124,2,3774
125,1,3789.5
125,2,3805
126,1,3820
126,2,3835
127,1,3850.5
127,2,3866
128,1,3881
128,2,3896
129,1,3911.5
129,2,3927
130,1,3942.5
130,2,3958
131,1,3972
131,2,3986
132,1,4001.5
132,2,4017
133,1,4032
133,2,4047
134,1,4062.5
134,2,4078
135,1,4093
135,2,4108
136,1,4123.5
136,2,4139
137,1,4154.5
137,2,4170
138,1,4185
138,2,4200
139,1,4215.5
139,2,4231
140,1,4246
140,2,4261
141,1,4276.5
141,2,4292
142,1,4307.5
142,2,4323
143,1,4337.5
143,2,4352
144,1,4367.5
144,2,4383
145,1,4398
145,2,4413
146,1,4428.5
146,2,4444
147,1,4459
147,2,4474
148,1,4489.5
148,2,4505
149,1,4520.5
149,2,4536
150,1,4551
150,2,4566
151,1,4581.5
151,2,4597
152,1,4612
152,2,4627
153,1,4642.5
153,2,4658
154,1,4673.5
154,2,4689
155,1,4703
155,2,4717
156,1,4732.5
156,2,4748
157,1,4763
157,2,4778
158,1,4793.5
158,2,4809
159,1,4824
159,2,4839
160,1,4854.5
160,2,4870
161,1,4885.5
161,2,4901
162,1,4916
162,2,4931
163,1,4946.5
163,2,4962
164,1,4977
164,2,4992
165,1,5007.5
165,2,5023
166,1,5038.5
166,2,5054
167,1,5068
167,2,5082
168,1,5097.5
168,2,5113
169,1,5128
169,2,5143
170,1,5158.5
170,2,5174
171,1,5189
171,2,5204
172,1,5219.5
172,2,5235
173,1,5250.5
173,2,5266
174,1,5281
174,2,5296
175,1,5311.5
175,2,5327
176,1,5342
176,2,5357
177,1,5372.5
177,2,5388
178,1,5403.5
178,2,5419
179,1,5433
179,2,5447
180,1,5462.5
180,2,5478
181,1,5493
181,2,5508
182,1,5523.5
182,2,5539
183,1,5554
183,2,5569
184,1,5584.5
184,2,5600
185,1,5615.5
185,2,5631
186,1,5646
186,2,5661
187,1,5676.5
187,2,5692
188,1,5707
188,2,5722
189,1,5737.5
189,2,5753
190,1,5768.5
190,2,5784
191,1,5798.5
191,2,5813
192,1,5828.5
192,2,5844
193,1,5859
193,2,5874
194,1,5889.5
194,2,5905
195,1,5920
195,2,5935
196,1,5950.5
196,2,5966
197,1,5981.5
197,2,5997
198,1,6012
