 sp  tstp    time
  1     1    15.0
  1     1    15.0
  1     1    15.0
  1     1    15.0
  1     2    30.0
  1     2    30.0
  1     2    30.0
  1     2    30.0
  2     1    45.5
  2     1    45.5
  2     1    45.5
  2     1    45.5
  2     2    61.0
  2     2    61.0
  2     2    61.0
  2     2    61.0
  3     1    76.0
  3     1    76.0
  3     1    76.0
  3     1    76.0
  3     2    91.0
  3     2    91.0
  3     2    91.0
  3     2    91.0
  4     1   106.5
  4     1   106.5
  4     1   106.5
  4     1   106.5
  4     2   122.0
  4     2   122.0
  4     2   122.0
  4     2   122.0
  5     1   137.5
  5     1   137.5
  5     1   137.5
  5     1   137.5
  5     2   153.0
  5     2   153.0
  5     2   153.0
  5     2   153.0
  6     1   168.0
  6     1   168.0
  6     1   168.0
  6     1   168.0
  6     2   183.0
  6     2   183.0
  6     2   183.0
  6     2   183.0
  7     1   198.5
  7     1   198.5
  7     1   198.5
  7     1   198.5
  7     2   214.0
  7     2   214.0
  7     2   214.0
  7     2   214.0
  8     1   229.0
  8     1   229.0
  8     1   229.0
  8     1   229.0
  8     2   244.0
  8     2   244.0
  8     2   244.0
  8     2   244.0
  9     1   259.5
  9     1   259.5
  9     1   259.5
  9     1   259.5
  9     2   275.0
  9     2   275.0
  9     2   275.0
  9     2   275.0
 10     1   290.5
 10     1   290.5
 10     1   290.5
 10     1   290.5
 10     2   306.0
 10     2   306.0
 10     2   306.0
 10     2   306.0
 11     1   320.0
 11     1   320.0
 11     1   320.0
 11     1   320.0
 11     2   334.0
 11     2   334.0
 11     2   334.0
 11     2   334.0
 12     1   349.5
 12     1   349.5
 12     1   349.5
 12     1   349.5
 12     2   365.0
 12     2   365.0
 12     2   365.0
 12     2   365.0
 13     1   380.0
 13     1   380.0
 13     1   380.0
 13     1   380.0
 13     2   395.0
 13     2   395.0
 13     2   395.0
 13     2   395.0
 14     1   410.5
 14     1   410.5
 14     1   410.5
 14     1   410.5
 14     2   426.0
 14     2   426.0
 14     2   426.0
 14     2   426.0
 15     1   441.0
 15     1   441.0
 15     1   441.0
