LSCE_ID,WellIndex,LogIndex,X,Y,Elevation,TopInt,BotInt,Coarse,ZoneLayer1,ZoneLayer2,ZoneLayer3,ZoneLayer4,ZoneLayer5,ZoneLayer6,ZoneLayer7,ZoneLayer8,ZoneLayer9,ZoneLayer10
LSCE_10001,1,1,6441150.475,1942144.723,197.1132965,0,25,0,1,1,1,1,1,1,1,1,1,1
LSCE_10002,2,1,6437879.545,1940260.137,181.001358,0,4,0,1,1,1,1,1,1,1,1,1,1
LSCE_10002,2,2,6437879.545,1940260.137,181.001358,4,17,0,1,1,1,1,1,1,1,1,1,1
LSCE_10002,2,3,6437879.545,1940260.137,181.001358,17,20,1,1,1,1,1,1,1,1,1,1,1
LSCE_10002,2,4,6437879.545,1940260.137,181.001358,20,51,0,1,1,1,1,1,1,1,1,1,1
LSCE_10002,2,5,6437879.545,1940260.137,181.001358,51,105,1,1,1,1,1,1,1,1,1,1,1
LSCE_10002,2,6,6437879.545,1940260.137,181.001358,105,115,0,1,1,1,1,1,1,1,1,1,1
LSCE_10003,3,1,6439303.257,1940865.958,177.3779449,0,31,0,1,1,1,1,1,1,1,1,1,1
LSCE_10003,3,2,6439303.257,1940865.958,177.3779449,31,43,0,1,1,1,1,1,1,1,1,1,1
LSCE_10003,3,3,6439303.257,1940865.958,177.3779449,43,64,0,1,1,1,1,1,1,1,1,1,1
LSCE_10003,3,4,6439303.257,1940865.958,177.3779449,64,69,0,1,1,1,1,1,1,1,1,1,1
LSCE_10003,3,5,6439303.257,1940865.958,177.3779449,69,74,0,1,1,1,1,1,1,1,1,1,1
LSCE_10003,3,6,6439303.257,1940865.958,177.3779449,74,81,0,1,1,1,1,1,1,1,1,1,1
LSCE_10003,3,7,6439303.257,1940865.958,177.3779449,81,86,0,1,1,1,1,1,1,1,1,1,1
LSCE_10003,3,8,6439303.257,1940865.958,177.3779449,86,89,0,1,1,1,1,1,1,1,1,1,1
LSCE_10003,3,9,6439303.257,1940865.958,177.3779449,89,116,0,1,1,1,1,1,1,1,1,1,1
LSCE_10003,3,10,6439303.257,1940865.958,177.3779449,116,127,0,1,1,1,1,1,1,1,1,1,1
LSCE_10003,3,11,6439303.257,1940865.958,177.3779449,127,132,0,1,1,1,1,1,1,1,1,1,1
LSCE_10003,3,12,6439303.257,1940865.958,177.3779449,132,178,0,1,1,1,1,1,1,1,1,1,1
LSCE_10003,3,13,6439303.257,1940865.958,177.3779449,178,191,0,1,1,1,1,1,1,1,1,1,1
LSCE_10003,3,14,6439303.257,1940865.958,177.3779449,191,223,0,1,1,1,1,1,1,1,1,1,1
LSCE_10004,4,1,6438951.686,1939816.579,179.7435913,0,30,0,1,1,1,1,1,1,1,1,1,1
LSCE_10004,4,2,6438951.686,1939816.579,179.7435913,30,50,1,1,1,1,1,1,1,1,1,1,1
LSCE_10004,4,3,6438951.686,1939816.579,179.7435913,50,58,0,1,1,1,1,1,1,1,1,1,1
LSCE_10004,4,4,6438951.686,1939816.579,179.7435913,58,80,1,1,1,1,1,1,1,1,1,1,1
LSCE_10004,4,5,6438951.686,1939816.579,179.7435913,80,96,0,1,1,1,1,1,1,1,1,1,1
LSCE_10004,4,6,6438951.686,1939816.579,179.7435913,96,103,1,1,1,1,1,1,1,1,1,1,1
LSCE_10004,4,7,6438951.686,1939816.579,179.7435913,103,115,0,1,1,1,1,1,1,1,1,1,1
LSCE_10004,4,8,6438951.686,1939816.579,179.7435913,115,130,1,1,1,1,1,1,1,1,1,1,1
LSCE_10004,4,9,6438951.686,1939816.579,179.7435913,130,135,0,1,1,1,1,1,1,1,1,1,1
LSCE_10004,4,10,6438951.686,1939816.579,179.7435913,135,200,1,1,1,1,1,1,1,1,1,1,1
LSCE_10004,4,11,6438951.686,1939816.579,179.7435913,200,205,0,1,1,1,1,1,1,1,1,1,1
LSCE_10004,4,12,6438951.686,1939816.579,179.7435913,205,207,1,1,1,1,1,1,1,1,1,1,1
