layer,row,column,ISEG,IREACH,RCHLEN,STRTOP,SLOPE,STRTHICK,STRHC1,cellid,x,y,ICALC,OUTSEG,IUPSEG,IPRIOR,ROUGHCH,SWSID
1,36,24,1,1,317.7,482.384,1.33E-02,2.00E+00,5,6324,6386888.3,1986894.1,1,3,0,0,0.035,10176
1,36,23,1,2,386.8,478.098,1.33E-02,2.00E+00,5,6323,6386418.5,1986723,1,3,0,0,0.035,10176
1,37,23,1,3,545,471.519,1.33E-02,2.00E+00,5,6503,6386589.5,1986253.2,1,3,0,0,0.035,10176
1,36,25,2,1,243.7,527.277,3.96E-02,2.00E+00,5,6325,6387358.2,1987065.1,1,3,0,0,0.035,10250
1,37,25,2,2,319,511.338,3.96E-02,2.00E+00,5,6505,6387529.2,1986595.2,1,3,0,0,0.035,10250
1,37,24,2,3,547.9,491.477,3.96E-02,2.00E+00,5,6504,6387059.3,1986424.2,1,3,0,0,0.035,10250
1,37,23,2,4,359.4,477.015,3.96E-02,2.00E+00,5,6503,6386589.5,1986253.2,1,3,0,0,0.035,10250
1,38,23,2,5,168.5,470.621,3.96E-02,2.00E+00,5,6683,6386760.5,1985783.4,1,3,0,0,0.035,10250
1,38,23,3,1,535.4,464.228,1.00E-02,2.00E+00,5,6683,6386760.5,1985783.4,1,5,0,0,0.035,10346
1,39,23,3,2,503.9,456.328,1.00E-02,2.00E+00,5,6863,6386931.5,1985313.5,1,5,0,0,0.035,10346
1,40,23,3,3,512.5,451.22,1.00E-02,2.00E+00,5,7043,6387102.5,1984843.7,1,5,0,0,0.035,10346
1,41,23,3,4,556,445.522,1.00E-02,2.00E+00,5,7223,6387273.5,1984373.8,1,5,0,0,0.035,10346
1,42,23,3,5,291.2,441.046,1.00E-02,2.00E+00,5,7403,6387444.5,1983904,1,5,0,0,0.035,10346
1,42,22,3,6,90.1,439.502,1.00E-02,2.00E+00,5,7402,6386974.7,1983733,1,5,0,0,0.035,10346
1,42,23,3,7,183.1,437.862,1.00E-02,2.00E+00,5,7403,6387444.5,1983904,1,5,0,0,0.035,10346
1,43,23,3,8,84.6,436.779,1.00E-02,2.00E+00,5,7583,6387615.5,1983434.1,1,5,0,0,0.035,10346
1,43,22,3,9,313.9,435.697,1.00E-02,2.00E+00,5,7582,6387145.7,1983263.1,1,5,0,0,0.035,10346
1,43,23,3,10,308.4,432.008,1.00E-02,2.00E+00,5,7583,6387615.5,1983434.1,1,5,0,0,0.035,10346
1,44,23,3,11,349.5,429.474,1.00E-02,2.00E+00,5,7763,6387786.6,1982964.3,1,5,0,0,0.035,10346
1,44,24,3,12,545.5,425.001,1.00E-02,2.00E+00,5,7764,6388256.4,1983135.3,1,5,0,0,0.035,10346
1,45,24,3,13,274.8,422.095,1.00E-02,2.00E+00,5,7944,6388427.4,1982665.4,1,5,0,0,0.035,10346
1,45,25,3,14,278,420.234,1.00E-02,2.00E+00,5,7945,6388897.3,1982836.5,1,5,0,0,0.035,10346
1,46,25,3,15,156.7,417.664,1.00E-02,2.00E+00,5,8125,6389068.3,1982366.6,1,5,0,0,0.035,10346
1,42,27,4,1,561.4,469.406,2.31E-02,2.00E+00,5,7407,6389323.9,1984588,1,5,0,0,0.035,10036
1,43,27,4,2,307.5,453.839,2.31E-02,2.00E+00,5,7587,6389494.9,1984118.2,1,5,0,0,0.035,10036
1,43,26,4,3,504.2,441.123,2.31E-02,2.00E+00,5,7586,6389025.1,1983947.2,1,5,0,0,0.035,10036
1,44,26,4,4,131.6,432.951,2.31E-02,2.00E+00,5,7766,6389196.1,1983477.3,1,5,0,0,0.035,10036
1,44,25,4,5,430.3,429.41,2.31E-02,2.00E+00,5,7765,6388726.3,1983306.3,1,5,0,0,0.035,10036
1,45,25,4,6,524.1,421.778,2.31E-02,2.00E+00,5,7945,6388897.3,1982836.5,1,5,0,0,0.035,10036
1,46,25,4,7,97.6,417.866,2.31E-02,2.00E+00,5,8125,6389068.3,1982366.6,1,5,0,0,0.035,10036
1,46,25,5,1,391.1,415.24,7.37E-03,2.00E+00,1,8125,6389068.3,1982366.6,1,9,0,0,0.035,10295
1,46,26,5,2,186.7,413.812,7.37E-03,2.00E+00,1,8126,6389538.1,1982537.6,1,9,0,0,0.035,10295
1,47,26,5,3,610.4,411.717,7.37E-03,2.00E+00,1,8306,6389709.1,1982067.8,1,9,0,0,0.035,10295
1,47,27,5,4,45.1,409.698,7.37E-03,2.00E+00,1,8307,6390179,1982238.8,1,9,0,0,0.035,10295
1,48,27,5,5,304.3,407.544,7.37E-03,2.00E+00,1,8487,6390350,1981768.9,1,9,0,0,0.035,10295
1,48,26,5,6,218.2,405.224,7.37E-03,2.00E+00,1,8486,6389880.1,1981597.9,1,9,0,0,0.035,10295
1,49,26,5,7,199.8,403.418,7.37E-03,2.00E+00,1,8666,6390051.1,1981128.1,1,9,0,0,0.035,10295
1,49,27,5,8,440.2,400.345,7.37E-03,2.00E+00,1,8667,6390521,1981299.1,1,9,0,0,0.035,10295
1,50,27,5,9,634.4,396.476,7.37E-03,2.00E+00,1,8847,6390692,1980829.2,1,9,0,0,0.035,10295
1,51,27,5,10,102.5,392.758,7.37E-03,2.00E+00,1,9027,6390863,1980359.4,1,9,0,0,0.035,10295
1,51,26,5,11,436.8,392.03,7.37E-03,2.00E+00,1,9026,6390393.2,1980188.4,1,9,0,0,0.035,10295
1,52,26,5,12,553.5,391.207,7.37E-03,2.00E+00,1,9206,6390564.2,1979718.5,1,9,0,0,0.035,10295
1,53,26,5,13,514.8,388.488,7.37E-03,2.00E+00,1,9386,6390735.2,1979248.7,1,9,0,0,0.035,10295
1,54,26,5,14,634.1,384.826,7.37E-03,2.00E+00,1,9566,6390906.2,1978778.8,1,9,0,0,0.035,10295
1,54,25,5,15,142.6,380.766,7.37E-03,2.00E+00,1,9565,6390436.4,1978607.8,1,9,0,0,0.035,10295
1,55,25,5,16,604.9,378.969,7.37E-03,2.00E+00,1,9745,6390607.4,1978138,1,9,0,0,0.035,10295
1,56,25,5,17,659.8,374.777,7.37E-03,2.00E+00,1,9925,6390778.4,1977668.1,1,9,0,0,0.035,10295
1,57,25,5,18,569.5,370.937,7.37E-03,2.00E+00,1,10105,6390949.4,1977198.3,1,9,0,0,0.035,10295
1,58,25,5,19,527.9,361.423,7.37E-03,2.00E+00,1,10285,6391120.4,1976728.4,1,9,0,0,0.035,10295
1,59,25,5,20,335.4,358.138,7.37E-03,2.00E+00,1,10465,6391291.4,1976258.6,1,9,0,0,0.035,10295
1,41,10,6,1,528.2,481.606,1.10E-02,2.00E+00,5,7210,6381165.5,1982150.7,1,8,0,0,0.035,10035
1,42,10,6,2,508.3,473.641,1.10E-02,2.00E+00,5,7390,6381336.5,1981680.8,1,8,0,0,0.035,10035
1,43,10,6,3,512.1,468.584,1.10E-02,2.00E+00,5,7570,6381507.5,1981211,1,8,0,0,0.035,10035
1,44,10,6,4,526.6,459.398,1.10E-02,2.00E+00,5,7750,6381678.6,1980741.1,1,8,0,0,0.035,10035
1,45,10,6,5,509.1,454.11,1.10E-02,2.00E+00,5,7930,6381849.6,1980271.3,1,8,0,0,0.035,10035
1,46,10,6,6,504.7,448.59,1.10E-02,2.00E+00,5,8110,6382020.6,1979801.5,1,8,0,0,0.035,10035
1,47,10,6,7,459.7,445.941,1.10E-02,2.00E+00,5,8290,6382191.6,1979331.6,1,8,0,0,0.035,10035
1,47,11,6,8,421.2,443.166,1.10E-02,2.00E+00,5,8291,6382661.4,1979502.6,1,8,0,0,0.035,10035
1,48,10,7,1,177.2,453.402,1.49E-02,2.00E+00,5,8470,6382362.6,1978861.8,1,8,0,0,0.035,10054
1,48,11,7,2,376.6,447.207,1.49E-02,2.00E+00,5,8471,6382832.4,1979032.8,1,8,0,0,0.035,10054
1,47,11,7,3,401.3,443.51,1.49E-02,2.00E+00,5,8291,6382661.4,1979502.6,1,8,0,0,0.035,10054
1,47,11,8,1,166.1,440.714,7.29E-03,2.00E+00,5,8291,6382661.4,1979502.6,1,9,0,0,0.035,10034
1,47,12,8,2,671.7,437.347,7.29E-03,2.00E+00,5,8292,6383131.3,1979673.6,1,9,0,0,0.035,10034
1,47,13,8,3,53.4,432.028,7.29E-03,2.00E+00,5,8293,6383601.1,1979844.6,1,9,0,0,0.035,10034
1,48,13,8,4,549.7,427.344,7.29E-03,2.00E+00,5,8473,6383772.1,1979374.8,1,9,0,0,0.035,10034
1,48,14,8,5,515.9,422.925,7.29E-03,2.00E+00,5,8474,6384242,1979545.8,1,9,0,0,0.035,10034
1,48,15,8,6,585.9,420.722,7.29E-03,2.00E+00,5,8475,6384711.8,1979716.8,1,9,0,0,0.035,10034
1,48,16,8,7,51.9,418.608,7.29E-03,2.00E+00,5,8476,6385181.7,1979887.8,1,9,0,0,0.035,10034
1,49,16,8,8,523,416.494,7.29E-03,2.00E+00,5,8656,6385352.7,1979418,1,9,0,0,0.035,10034
1,49,15,8,9,90.5,414.381,7.29E-03,2.00E+00,5,8655,6384882.8,1979247,1,9,0,0,0.035,10034
1,50,15,8,10,423.4,413.229,7.29E-03,2.00E+00,5,8835,6385053.8,1978777.1,1,9,0,0,0.035,10034
1,50,16,8,11,288.5,407.946,7.29E-03,2.00E+00,5,8836,6385523.7,1978948.1,1,9,0,0,0.035,10034
1,51,16,8,12,357.3,406.635,7.29E-03,2.00E+00,5,9016,6385694.7,1978478.3,1,9,0,0,0.035,10034
1,51,17,8,13,513.1,401.787,7.29E-03,2.00E+00,5,9017,6386164.6,1978649.3,1,9,0,0,0.035,10034
1,52,17,8,14,542.8,399.323,7.29E-03,2.00E+00,5,9197,6386335.6,1978179.4,1,9,0,0,0.035,10094
1,52,18,8,15,68.5,396.86,7.29E-03,2.00E+00,5,9198,6386805.4,1978350.5,1,9,0,0,0.035,10094
1,53,18,8,16,614.2,394.397,7.29E-03,2.00E+00,5,9378,6386976.4,1977880.6,1,9,0,0,0.035,10094
1,54,18,8,17,445.9,392.121,7.29E-03,2.00E+00,5,9558,6387147.4,1977410.8,1,9,0,0,0.035,10094
1,54,19,8,18,247.9,389.846,7.29E-03,2.00E+00,5,9559,6387617.3,1977581.8,1,9,0,0,0.035,10094
1,55,19,8,19,533.7,387.571,7.29E-03,2.00E+00,5,9739,6387788.3,1977111.9,1,9,0,0,0.035,10094
1,56,19,8,20,538.6,385.296,7.29E-03,2.00E+00,5,9919,6387959.3,1976642.1,1,9,0,0,0.035,10094
1,56,20,8,21,469.6,383.02,7.29E-03,2.00E+00,5,9920,6388429.1,1976813.1,1,9,0,0,0.035,10094
1,57,20,8,22,112.4,380.745,7.29E-03,2.00E+00,5,10100,6388600.1,1976343.2,1,9,0,0,0.035,10094
1,57,21,8,23,635.6,378.47,7.29E-03,2.00E+00,5,10101,6389070,1976514.3,1,9,0,0,0.035,10094
1,57,22,8,24,222.3,376.194,7.29E-03,2.00E+00,5,10102,6389539.8,1976685.3,1,9,0,0,0.035,10094
1,58,22,8,25,493,372.586,7.29E-03,2.00E+00,5,10282,6389710.9,1976215.4,1,9,0,0,0.035,10094
1,58,23,8,26,559.1,366.327,7.29E-03,2.00E+00,5,10283,6390180.7,1976386.4,1,9,0,0,0.035,10094
1,58,24,8,27,105.3,363.611,7.29E-03,2.00E+00,5,10284,6390650.5,1976557.4,1,9,0,0,0.035,10094
1,59,24,8,28,535.3,362.393,7.29E-03,2.00E+00,5,10464,6390821.6,1976087.6,1,9,0,0,0.035,10094
1,59,25,8,29,156.2,361.175,7.29E-03,2.00E+00,5,10465,6391291.4,1976258.6,1,9,0,0,0.035,10094
1,59,25,9,1,390,357.397,4.01E-03,2.00E+00,1,10465,6391291.4,1976258.6,1,14,0,0,0.035,10170
1,60,25,9,2,98.4,356.655,4.01E-03,2.00E+00,1,10645,6391462.4,1975788.8,1,14,0,0,0.035,10170
1,60,26,9,3,592.3,354.663,4.01E-03,2.00E+00,1,10646,6391932.3,1975959.8,1,14,0,0,0.035,10170
1,61,26,9,4,519.8,352.805,4.01E-03,2.00E+00,1,10826,6392103.3,1975489.9,1,14,0,0,0.035,10170
1,44,34,10,1,568.4,455.217,1.65E-02,2.00E+00,5,7774,6392954.9,1984845.4,1,12,0,0,0.035,10179
1,45,33,10,2,408.8,446.282,1.65E-02,2.00E+00,5,7953,6392656,1984204.5,1,12,0,0,0.035,10179
1,45,34,10,3,115.5,443.662,1.65E-02,2.00E+00,5,7954,6393125.9,1984375.5,1,12,0,0,0.035,10179
1,45,33,10,4,37.3,441.042,1.65E-02,2.00E+00,5,7953,6392656,1984204.5,1,12,0,0,0.035,10179
1,46,33,10,5,287.3,439.163,1.65E-02,2.00E+00,5,8133,6392827,1983734.7,1,12,0,0,0.035,10179
1,46,34,10,6,313.2,434.326,1.65E-02,2.00E+00,5,8134,6393296.9,1983905.7,1,12,0,0,0.035,10179
1,46,33,10,7,40.5,431.429,1.65E-02,2.00E+00,5,8133,6392827,1983734.7,1,12,0,0,0.035,10179
1,47,33,10,8,408.8,427.303,1.65E-02,2.00E+00,5,8313,6392998.1,1983264.8,1,12,0,0,0.035,10179
1,44,36,11,1,584.5,452.505,1.29E-02,2.00E+00,5,7776,6393894.6,1985187.4,1,12,0,0,0.035,10095
1,45,36,11,2,3.5,446.802,1.29E-02,2.00E+00,5,7956,6394065.6,1984717.6,1,12,0,0,0.035,10095
1,45,35,11,3,600.4,442.166,1.29E-02,2.00E+00,5,7955,6393595.7,1984546.6,1,12,0,0,0.035,10095
1,46,35,11,4,446.8,436.483,1.29E-02,2.00E+00,5,8135,6393766.7,1984076.7,1,12,0,0,0.035,10095
1,46,34,11,5,102.3,433.777,1.29E-02,2.00E+00,5,8134,6393296.9,1983905.7,1,12,0,0,0.035,10095
1,47,34,11,6,591.6,428.139,1.29E-02,2.00E+00,5,8314,6393467.9,1983435.8,1,12,0,0,0.035,10095
1,47,33,11,7,36.6,426.032,1.29E-02,2.00E+00,5,8313,6392998.1,1983264.8,1,12,0,0,0.035,10095
1,47,33,12,1,181.1,423.926,7.68E-03,2.00E+00,5,8313,6392998.1,1983264.8,1,13,0,0,0.035,10265
1,48,33,12,2,507.2,420.94,7.68E-03,2.00E+00,5,8493,6393169.1,1982795,1,13,0,0,0.035,10265
1,49,33,12,3,531.1,418.317,7.68E-03,2.00E+00,5,8673,6393340.1,1982325.1,1,13,0,0,0.035,10265
1,50,33,12,4,343.8,414.58,7.68E-03,2.00E+00,5,8853,6393511.1,1981855.3,1,13,0,0,0.035,10265
1,50,32,12,5,280.1,408.822,7.68E-03,2.00E+00,5,8852,6393041.2,1981684.3,1,13,0,0,0.035,10265
1,51,32,12,6,539.2,406.129,7.68E-03,2.00E+00,5,9032,6393212.2,1981214.4,1,13,0,0,0.035,10265
1,52,32,12,7,639.1,403.436,7.68E-03,2.00E+00,5,9212,6393383.3,1980744.6,1,13,0,0,0.035,10265
1,53,32,12,8,725.5,396.75,7.68E-03,2.00E+00,5,9392,6393554.3,1980274.8,1,13,0,0,0.035,10265
1,53,31,12,9,55.9,395.016,7.68E-03,2.00E+00,5,9391,6393084.4,1980103.7,1,13,0,0,0.035,10265
1,54,31,12,10,176.8,393.282,7.68E-03,2.00E+00,5,9571,6393255.4,1979633.9,1,13,0,0,0.035,10265
1,53,31,12,11,307.6,390.365,7.68E-03,2.00E+00,5,9391,6393084.4,1980103.7,1,13,0,0,0.035,10265
1,54,31,12,12,124.4,388.893,7.68E-03,2.00E+00,5,9571,6393255.4,1979633.9,1,13,0,0,0.035,10265
1,54,30,12,13,571.1,387.602,7.68E-03,2.00E+00,5,9570,6392785.6,1979462.9,1,13,0,0,0.035,10265
1,54,29,12,14,192.3,384.414,7.68E-03,2.00E+00,5,9569,6392315.7,1979291.9,1,13,0,0,0.035,10265
1,54,30,12,15,191.8,383.153,7.68E-03,2.00E+00,5,9570,6392785.6,1979462.9,1,13,0,0,0.035,10265
1,55,30,12,16,331.9,380.782,7.68E-03,2.00E+00,5,9750,6392956.6,1978993,1,13,0,0,0.035,10265
1,55,29,12,17,281.4,378.616,7.68E-03,2.00E+00,5,9749,6392486.7,1978822,1,13,0,0,0.035,10265
1,56,29,12,18,315.3,377.473,7.68E-03,2.00E+00,5,9929,6392657.8,1978352.2,1,13,0,0,0.035,10265
1,56,29,13,1,224.4,375.673,8.04E-03,2.00E+00,5,9929,6392657.8,1978352.2,1,14,0,0,0.035,10345
1,57,29,13,2,563.4,373.141,8.04E-03,2.00E+00,5,10109,6392828.8,1977882.3,1,14,0,0,0.035,10345
1,58,29,13,3,280.1,369.153,8.04E-03,2.00E+00,5,10289,6392999.8,1977412.5,1,14,0,0,0.035,10345
1,58,28,13,4,409,366.344,8.04E-03,2.00E+00,5,10288,6392529.9,1977241.5,1,14,0,0,0.035,10345
1,59,28,13,5,465.3,363.018,8.04E-03,2.00E+00,5,10468,6392700.9,1976771.6,1,14,0,0,0.035,10345
1,59,27,13,6,145.9,359.846,8.04E-03,2.00E+00,5,10467,6392231.1,1976600.6,1,14,0,0,0.035,10345
1,60,27,13,7,598.3,357.346,8.04E-03,2.00E+00,5,10647,6392402.1,1976130.8,1,14,0,0,0.035,10345
1,61,27,13,8,312.5,354.763,8.04E-03,2.00E+00,5,10827,6392573.1,1975660.9,1,14,0,0,0.035,10345
1,61,26,13,9,208.2,351.639,8.04E-03,2.00E+00,5,10826,6392103.3,1975489.9,1,14,0,0,0.035,10345
1,61,26,14,1,28.3,350.668,8.04E-03,2.00E+00,1,10826,6392103.3,1975489.9,1,15,0,0,0.035,10127
1,62,26,15,1,343.5,349.585,3.25E-03,2.00E+00,1,11006,6392274.3,1975020.1,1,17,0,0,0.035,10127
1,62,27,15,2,275.4,348.503,3.25E-03,2.00E+00,1,11007,6392744.1,1975191.1,1,17,0,0,0.035,10127
