wellname,layer,row,column,roffset,coffset,xlocal,ylocal,x,y,active,geometry,Simulation,merr,mae,rmse,maxae,r2
64221,-4,285,130,0.377705432,0.400094395,64950.0472,102061.1473,6479526.112,1887920.331,1,POINT (6479526.112 1887920.331),Simulated,-15.5897084366469,16.755078255835134,23.255137302937314,103.6014480591,0.32849299823111955
64272,-3,291,125,0.184977525,0.087376166,62293.68808,99157.51124,6478023.053,1884283.278,1,POINT (6478023.053 1884283.278),Simulated,-11.695182380379881,11.83775056433549,13.92214703202905,48.3746757507,0.2759626490424839
BV,4,182,102,-0.050841482,0.24909909,50874.54955,153775.4207,6448612.147,1931701.749,1,POINT (6448612.147 1931701.749),Simulated,4.5925713816290274,4.5925713816290274,5.125075275314982,10.273254394999995,0.33422746333816045
C1,1,173,100,-0.354630637,0.115538461,49807.76923,158427.3153,6446018.66,1935708.24,1,POINT (6446018.66 1935708.24),Simulated,7.262312354130079,7.294070484211379,8.05691110579709,18.42955017099999,0.5618428422574825
NC-122,-3,295,134,-0.254664943,0.247506493,66873.75325,97377.33247,6482935.763,1884176.931,1,POINT (6482935.763 1884176.931),Simulated,-31.981341170295707,31.981341170295707,34.65407171339854,51.19288587568,0.7581933533545309
NC-126,-4,260,127,0.099742077,0.290392751,63395.19638,114700.129,6473742.244,1899265.299,1,POINT (6473742.244 1899265.299),Simulated,2.18954102197942,17.69813875530174,20.503708860733294,52.902466774000004,0.35379413988245373
NC-128,1,71,41,-0.010256392,-0.311745673,20094.12716,209255.1282,6400712.834,1973308.096,1,POINT (6400712.834 1973308.096),Simulated,12.267631880697246,12.267631880697246,12.534161024314303,18.50619506800001,0.47033748619282184
NC-130,-5,160,89,0.046736451,0.186081702,44343.04085,164726.6318,6438729.002,1939758.614,1,POINT (6438729.002 1939758.614),Simulated,9.062711443114287,10.509589930771433,11.340787001009064,18.209640503000003,0.12214438407467426
NC-132,-5,188,109,-0.456034357,-0.421743976,54039.12801,150978.0172,6452542.647,1930155.399,1,POINT (6452542.647 1930155.399),Simulated,2.749488612559049,5.54997151690762,7.131518734669686,25.548080444000007,0.4019590188998181
NC-133,-4,227,111,0.400639196,0.364926628,55432.46331,131049.6804,6460667.846,1911905.437,1,POINT (6460667.846 1911905.437),Simulated,7.450277432522726,7.496114002569996,8.219598482946209,15.663284301699989,0.5303002235829026
NC-134,-2,239,109,0.41801004,-0.365509739,54067.24513,125040.995,6461440.052,1905792.187,1,POINT (6461440.052 1905792.187),Simulated,1.0448927879249998,3.377579424113889,4.224321237277266,9.473426818800007,0.4903783912866272
