wellname,time,Simulated,Observed
64221,1985-01-31,18.8217735291,19.5
64221,1985-06-06,15.9097213745,19.5
64221,1986-03-19,18.971113205,27.0
64221,1986-10-30,13.6754493713,8.30000019073
64221,1987-07-10,10.7256345749,-36.2999992371
64221,1987-11-04,12.0951519012,-0.20000000298
64221,1988-04-22,15.0923995972,10.8999996185
64221,1988-10-24,10.5863103867,1.89999997616
64221,1989-05-24,13.2398033142,1.39999997616
64221,1989-10-04,10.9236745834,2.40000009537
64221,1990-04-03,15.2465591431,-9.39999961853
64221,1990-10-25,10.7890462875,-1.39999997616
64221,1991-04-17,15.4063472748,8.19999980927
64221,1991-10-17,10.8337812424,-12.6000003815
64221,1992-04-06,14.7904205322,12.1999998093
64221,1992-11-04,10.5424814224,0.40000000596
64221,1993-04-23,14.1952896118,30.0
64221,1993-11-04,10.2556362152,7.0
64221,1994-04-07,12.6008615494,10.0
64221,1994-10-20,7.92686891556,-2.5
64221,1995-05-05,13.7019300461,15.3000001907
64221,1995-10-26,8.20214557648,-3.5
64221,1996-04-19,15.04824543,14.3000001907
64221,1996-10-22,10.3590164185,-5.5
64221,1997-05-09,14.8069581985,0.899999976158
64221,1997-10-10,9.92820739746,-8.39999961853
64221,1998-05-19,14.8832416534,14.8999996185
64221,1998-12-21,12.1014480591,-91.5
64221,1999-05-19,13.5124740601,3.5
64221,1999-10-22,9.45364284515,-19.0
64221,2000-03-01,14.3033256531,10.6999998093
64221,2000-10-05,8.24283695221,-14.5
64221,2001-04-09,13.1912231445,9.69999980927
64221,2001-10-12,6.56236124039,-14.1000003815
64221,2002-04-09,13.4688978195,5.80000019073
64221,2002-10-07,6.14695978165,-22.7999992371
64221,2003-04-07,14.3008832932,-10.8000001907
64221,2003-10-03,7.82240962982,-13.8999996185
64221,2004-04-12,13.3595132828,-6.5
64221,2004-10-12,7.30851221085,-22.2000007629
64221,2005-04-12,14.7075910568,3.29999995232
64221,2005-10-04,8.48245620728,-18.7000007629
64221,2006-05-01,16.9327201843,4.69999980927
64221,2006-10-16,9.04909515381,-18.2000007629
64221,2007-04-10,12.2395706177,-3.40000009537
64221,2007-10-09,6.57963609695,-28.6000003815
64221,2008-04-21,11.0125074387,-16.6000003815
64221,2009-10-12,6.07476854324,-23.0799999237
64221,2010-04-13,13.5832252502,-4.98000001907
64221,2010-10-20,9.18276977539,-19.7800006866
64221,2011-04-19,13.6782302856,2.42000007629
64272,1984-10-05,29.9986953735,13.6999998093
64272,1985-02-21,34.6104049683,29.7999992371
64272,1985-03-13,34.9198684692,29.7999992371
64272,1985-05-22,34.7763404846,24.2999992371
64272,1985-06-24,34.1139335632,20.2000007629
64272,1985-08-05,32.9429397583,-2.29999995232
64272,1985-08-23,32.5258903503,14.6999998093
64272,1985-09-18,32.5737190247,15.0
64272,1985-10-23,32.8236885071,14.1999998093
64272,1985-11-19,33.2202224731,16.1000003815
64272,1985-12-18,33.8546447754,17.0
64272,1986-01-28,34.6691322327,24.2000007629
64272,1986-02-05,34.774684906,24.8999996185
64272,1986-02-08,34.8091163635,24.8999996185
64272,1986-03-05,35.0870170593,19.3999996185
64272,1986-03-08,35.1326637268,19.3999996185
64272,1986-04-10,35.5810813904,32.0999984741
64272,1986-05-21,35.564617157,19.7000007629
64272,1986-06-02,35.4556999207,24.0
64272,1986-07-10,34.4270515442,19.5
64272,1986-08-06,33.6874008179,9.60000038147
64272,1986-09-05,33.0986328125,-0.40000000596
64272,1986-10-10,33.3289070129,15.0
64272,1986-11-14,33.4082641602,15.1000003815
64272,1986-12-03,33.6074180603,15.6000003815
64272,1987-01-08,33.9323043823,17.3999996185
64272,1987-03-16,34.1987342834,25.1000003815
64272,1987-04-23,33.8004760742,22.6000003815
64272,1987-05-28,33.1352577209,16.8999996185
64272,1987-06-25,31.9940052032,15.6000003815
64272,1987-07-30,30.7635822296,11.6000003815
64272,1987-08-27,29.9455490112,11.1000003815
64272,1987-09-03,29.8188743591,11.8999996185
